total_files,burst_files,total_size,burst_size,total_duration,burst_config_duration,burst_current_duration,burst_pause,burst_config_rate,burst_current_rate,algorithm
1,1,14339,14339,10.001,0,10.001,0,0.0,1433.808,AES-CTR
1,1,27475,27475,20.010,0,10.008,0,0.0,1373.042,AES-CTR
2,2,39723,39723,30.017,0,10.006,0,0.0,1323.347,AES-CTR
2,2,49131,49131,40.027,0,10.001,0,0.0,1227.449,AES-CTR
2,2,58651,58651,50.036,0,10.008,0,0.0,1172.165,AES-CTR
2,2,69739,69739,60.087,0,10.050,0,0.0,1160.630,AES-CTR
2,2,78523,78523,70.091,0,10.002,0,0.0,1120.295,AES-CTR
2,2,88267,88267,80.100,0,10.007,0,0.0,1101.962,AES-CTR
2,2,90123,90123,90.239,0,10.137,0,0.0,998.720,AES-CTR
2,2,90475,90475,102.542,0,12.302,0,0.0,882.321,AES-CTR
2,2,90859,90859,112.725,0,10.182,0,0.0,806.023,AES-CTR
2,2,91051,91051,123.171,0,10.095,0,0.0,739.226,AES-CTR
2,2,91419,91419,133.778,0,10.607,0,0.0,683.362,AES-CTR
2,2,101179,101179,143.796,0,10.017,0,0.0,703.627,AES-CTR
2,2,109595,109595,153.819,0,10.016,0,0.0,712.492,AES-CTR
2,2,118011,118011,163.837,0,10.016,0,0.0,720.295,AES-CTR
2,2,126619,126619,173.843,0,10.002,0,0.0,728.352,AES-CTR
2,2,134459,134459,183.857,0,10.011,0,0.0,731.324,AES-CTR
2,2,142411,142411,193.873,0,10.014,0,0.0,734.559,AES-CTR
2,2,150443,150443,203.888,0,10.011,0,0.0,737.869,AES-CTR
2,2,157659,157659,213.911,0,10.022,0,0.0,737.030,AES-CTR
2,2,165195,165195,223.923,0,10.010,0,0.0,737.731,AES-CTR
2,2,173275,173275,233.940,0,10.015,0,0.0,740.681,AES-CTR
2,2,180923,180923,243.961,0,10.020,0,0.0,741.606,AES-CTR
2,2,188075,188075,253.965,0,10.001,0,0.0,740.556,AES-CTR
2,2,196155,196155,263.972,0,10.005,0,0.0,743.090,AES-CTR
2,2,203851,203851,273.979,0,10.006,0,0.0,744.038,AES-CTR
2,2,211131,211131,283.987,0,10.005,0,0.0,743.453,AES-CTR
2,2,218763,218763,293.997,0,10.008,0,0.0,744.100,AES-CTR
2,2,225899,225899,304.010,0,10.011,0,0.0,743.065,AES-CTR
2,2,233083,233083,314.019,0,10.008,0,0.0,742.257,AES-CTR
2,2,240315,240315,324.030,0,10.008,0,0.0,741.645,AES-CTR
2,2,247579,247579,334.051,0,10.017,0,0.0,741.141,AES-CTR
2,2,254939,254939,344.055,0,10.001,0,0.0,740.984,AES-CTR
2,2,263179,263179,354.069,0,10.013,0,0.0,743.299,AES-CTR
2,2,270315,270315,364.093,0,10.023,0,0.0,742.433,AES-CTR
2,2,277403,277403,374.100,0,10.004,0,0.0,741.522,AES-CTR
2,2,284859,284859,384.124,0,10.023,0,0.0,741.582,AES-CTR
2,2,290187,290187,394.125,0,10.001,0,0.0,736.281,AES-CTR
2,2,297355,297355,404.151,0,10.021,0,0.0,735.752,AES-CTR
2,2,305307,305307,414.183,0,10.031,0,0.0,737.130,AES-CTR
2,2,312395,312395,424.195,0,10.009,0,0.0,736.443,AES-CTR
2,2,319611,319611,434.207,0,10.011,0,0.0,736.080,AES-CTR
3,3,326571,326571,444.212,0,10.004,0,0.0,735.169,AES-CTR
3,3,333867,333867,454.221,0,10.008,0,0.0,735.032,AES-CTR
3,3,341579,341579,464.251,0,10.028,0,0.0,735.763,AES-CTR
3,3,349947,349947,474.269,0,10.015,0,0.0,737.866,AES-CTR
3,3,356971,356971,484.283,0,10.013,0,0.0,737.113,AES-CTR
3,3,363915,363915,494.297,0,10.013,0,0.0,736.228,AES-CTR
3,3,370987,370987,504.300,0,10.002,0,0.0,735.648,AES-CTR
3,3,378155,378155,514.320,0,10.019,0,0.0,735.252,AES-CTR
3,3,385995,385995,524.332,0,10.005,0,0.0,736.166,AES-CTR
3,3,393483,393483,534.334,0,10.001,0,0.0,736.398,AES-CTR
3,3,400603,400603,544.361,0,10.024,0,0.0,735.914,AES-CTR
3,3,407867,407867,554.365,0,10.002,0,0.0,735.737,AES-CTR
3,3,415115,415115,564.388,0,10.022,0,0.0,735.513,AES-CTR
3,3,422315,422315,574.402,0,10.012,0,0.0,735.225,AES-CTR
3,3,429483,429483,584.410,0,10.007,0,0.0,734.900,AES-CTR
3,3,436875,436875,594.422,0,10.007,0,0.0,734.958,AES-CTR
3,3,443659,443659,604.431,0,10.008,0,0.0,734.011,AES-CTR
3,3,450395,450395,614.459,0,10.026,0,0.0,732.994,AES-CTR
3,3,457579,457579,624.469,0,10.008,0,0.0,732.749,AES-CTR
3,3,464699,464699,634.475,0,10.003,0,0.0,732.415,AES-CTR
3,3,471467,471467,644.477,0,10.001,0,0.0,731.549,AES-CTR
3,3,476603,476603,654.669,0,10.189,0,0.0,728.006,AES-CTR
3,3,477147,477147,665.136,0,10.466,0,0.0,717.367,AES-CTR
3,3,477387,477387,675.353,0,10.216,0,0.0,706.871,AES-CTR
